REPORTE DE EVENTOS - CASA INTELIGENTE
Formato: [fecha y hora del RTC] TIPO | descripcion
[2026-09-21 22:09:30] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] CONTROL MANUAL | Botón Apagar LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'LED 0' (2 s).
[2026-09-21 22:10:07] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] CONTROL MANUAL | Botón Apagar LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'LED 0' (2 s).
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 22:11:08] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] CONTROL MANUAL | Botón Apagar LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'LED 0' (2 s).
[2026-09-21 22:11:37] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] CONTROL MANUAL | Botón Apagar LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'LED 0' (2 s).
[2026-09-21 22:11:53] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] CONTROL MANUAL | Botón Apagar LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'LED 0' (2 s).
[2026-09-21 22:12:06] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] CONTROL MANUAL | Botón Apagar LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'LED 0' (2 s).
[2026-09-21 22:12:26] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] CONTROL MANUAL | Botón Apagar LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'LED 0' (2 s).
[2026-09-21 22:13:40] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 22:13:48] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:14:02] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:14:03] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 22:14:05] CONTROL MANUAL | Botón Encender LED presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 22:14:52] CONTROL MANUAL | Botón Encender LED presionado
[2026-09-21 22:14:53] CONTROL MANUAL | Botón Apagar LED presionado
[2026-09-21 22:14:54] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:14:55] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 22:15:32] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 22:15:34] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:15:35] CONTROL MANUAL | Botón Encender LED presionado
[2026-09-21 22:15:37] CONTROL MANUAL | Botón Apagar LED presionado
[2026-09-21 22:15:41] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 22:15:41] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:15:42] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 22:19:41] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:19:43] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 22:27:27] CONTROL MANUAL | Botón Encender LED presionado
[2026-09-21 22:27:28] CONTROL MANUAL | Botón Apagar LED presionado
[2026-09-21 22:27:36] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:27:39] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 22:27:41] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:27:41] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 22:27:43] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:27:45] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 22:48:57] CONTROL MANUAL | Botón Encender LED presionado
